,customer_id,product_id,type,brand,category,shop_category,date
150468,749646,88218,1,Redmi,Phone,Electronics,2018-04-13
141651,843315,253587,1,Other,Coat,Clothes,2018-03-09
124130,917936,116958,1,Kuka,Bed,Furniture,2018-04-14
154672,184167,370377,1,Huawei,Phone,Electronics,2018-02-11
94061,550478,14449,2,Other,Coat,Clothes,2018-02-06
7552,780640,210515,1,Huawei,Phone,Electronics,2018-02-13
99042,397850,300962,2,Apple,Phone,Electronics,2018-02-24
158377,803015,346279,1,Chando,Perfume,Beauty Makeup,2018-03-03
59008,897911,334218,4,Other,Milk,Food,2018-03-05
1387,364191,339794,1,Midea,Washing Machine,Household Eletric Appliance,2018-03-22
118418,32330,207938,1,Jeans West,T Shirt,Clothes,2018-02-07
53919,1009534,355122,1,Other,Coat,Clothes,2018-03-29
154336,447453,187033,1,Apple,Phone,Electronics,2018-03-16
90049,3142,240753,2,Apple,Phone,Electronics,2018-04-15
2215,1512674,97257,1,Other,Face Cream,Beauty Makeup,2018-04-01
120187,816445,2257,1,Lipton,Tea,Food,2018-03-22
14666,367864,296773,4,Midea,Air Conditioner,Household Eletric Appliance,2018-02-28
60791,1594298,106897,1,DELL,Notebook,Electronics,2018-03-25
72486,185479,257279,1,Other,Coat,Clothes,2018-02-05
172386,396222,34925,1,Apple,Phone,Electronics,2018-04-13
36903,320892,336165,1,Huawei,Phone,Electronics,2018-02-19
3251,930591,153599,1,Huawei,Phone,Electronics,2018-03-11
181334,686019,76122,1,ERKE,Running Shoes,Outdoor Sports,2018-04-10
99721,336118,332701,1,Apple,Phone,Electronics,2018-03-14
143716,530487,287300,1,Other,Candy,Food,2018-04-06
111135,1530356,174014,1,Huawei,Phone,Electronics,2018-04-12
42288,69631,22731,1,Oreo,Cookie,Food,2018-02-10
69119,1401526,150434,1,UNIQLO,Coat,Clothes,2018-03-05
20916,1300581,357387,1,Nikon,Digital Camera,Electronics,2018-02-16
10280,359465,33239,1,Lipton,Tea,Food,2018-03-04
47446,756580,138528,1,Huawei,Phone,Electronics,2018-02-22
168009,935676,259280,1,Lenovo,Notebook,Electronics,2018-03-04
949,1025266,87933,1,Midea,Induction Cooker,Household Eletric Appliance,2018-03-19
23701,1445724,278131,1,Lenovo,Notebook,Electronics,2018-03-08
18929,1569262,188706,1,Huawei,Phone,Electronics,2018-03-24
22788,210398,92834,1,Sony,Digital Camera,Electronics,2018-02-04
102345,781347,7389,1,Loreal,Perfume,Beauty Makeup,2018-02-06
36256,958783,327212,1,Huawei,Phone,Electronics,2018-02-06
121789,1518848,206111,1,Huawei,Phone,Electronics,2018-02-12
144569,51127,151424,1,Other,Phone,Electronics,2018-02-05
9986,71145,64595,1,Huawei,Phone,Electronics,2018-02-03
141268,844755,53552,1,Lipton,Tea,Food,2018-03-31
64540,65249,98560,1,Huawei,Phone,Electronics,2018-02-28
97801,441483,226200,3,Other,Facial Moisturizer,Beauty Makeup,2018-04-09
88559,522611,13184,1,Sony,Digital Camera,Electronics,2018-02-09
8318,510831,117431,1,PEACEBIRD,Coat,Clothes,2018-04-01
111365,342331,371050,1,Estee Lauder,Lipstick,Beauty Makeup,2018-02-05
82568,1184169,300082,1,LittleSwan,Washing Machine,Household Eletric Appliance,2018-04-07
123820,354411,96660,1,Huawei,Phone,Electronics,2018-02-11
132637,134598,101645,1,Apple,Phone,Electronics,2018-03-15
162132,521827,52087,1,Other,Candy,Food,2018-03-03
72490,1257070,53296,1,Huawei,Phone,Electronics,2018-03-07
149917,1092735,89731,1,Huawei,Phone,Electronics,2018-02-18
162706,229860,29543,1,CLINIQUE,Eye Shadow,Beauty Makeup,2018-03-09
97871,632216,348291,5,Kuka,Sofa,Furniture,2018-02-27
124823,463018,4236,1,Other,Coat,Clothes,2018-02-08
96621,1598243,285980,3,Other,Cookie,Food,2018-04-11
55397,1161543,103896,1,Nikon,Digital Camera,Electronics,2018-02-03
61763,1418049,112377,1,HLA,Coat,Clothes,2018-03-20
164841,103171,91902,1,Huawei,Phone,Electronics,2018-03-31
135413,438928,156435,1,Apple,Phone,Electronics,2018-03-12
138334,929756,172956,1,Other,Nut,Food,2018-04-12
1932,1176142,362974,1,CLINIQUE,Facial Moisturizer,Beauty Makeup,2018-03-20
11755,1309153,275734,1,Other,Milk,Food,2018-02-03
150760,1034047,252113,1,Baleno,Coat,Clothes,2018-02-14
155035,661,316261,1,Sumsung,Phone,Electronics,2018-02-09
70803,440188,81303,1,Apple,Tablet,Electronics,2018-02-02
94609,1607604,363796,2,Other,Coat,Clothes,2018-02-23
107147,1207424,76292,1,Jeans West,Jeans,Clothes,2018-03-15
64741,1140825,93654,1,Midea,Induction Cooker,Household Eletric Appliance,2018-02-01
53650,546287,326767,1,Innisfree,Makerup Water,Beauty Makeup,2018-03-01
181634,1028639,131735,1,Supor,Rice Cooker,Household Eletric Appliance,2018-03-22
127914,254901,115228,1,Sumsung,Phone,Electronics,2018-02-03
164916,1048699,194660,1,Other,Phone,Electronics,2018-03-03
173235,27919,72969,1,Huawei,Phone,Electronics,2018-04-06
33290,1028340,47830,1,Nestle,Coffee,Food,2018-03-09
7363,1366022,195852,1,Other,Candy,Food,2018-03-22
170331,658713,64413,1,Acer,Notebook,Electronics,2018-04-01
52368,681169,267508,1,Apple,Tablet,Electronics,2018-02-25
80309,1605240,373043,1,Quanyou,Sofa,Furniture,2018-04-10
88470,1230213,101859,1,Huawei,Phone,Electronics,2018-02-08
43464,1482379,63193,1,Sumsung,Phone,Electronics,2018-02-19
28981,738330,172838,1,Opple,Light,Furniture,2018-04-09
42932,101404,29027,1,Innisfree,Facial Essence,Beauty Makeup,2018-03-14
91138,569273,330483,2,Olay,Face Cream,Beauty Makeup,2018-04-06
110089,193039,320471,1,Baleno,Coat,Clothes,2018-02-19
25855,837601,61310,1,Other,Face Cream,Beauty Makeup,2018-03-10
118383,1442954,321058,1,HLA,Coat,Clothes,2018-02-02
111818,1571509,278155,1,Huawei,Phone,Electronics,2018-03-10
134713,365067,72391,1,Kuka,Bed,Furniture,2018-03-20
178198,701538,97911,1,H&M,Coat,Clothes,2018-02-28
13478,56242,332914,1,Apple,Phone,Electronics,2018-03-29
95578,1343543,314372,5,Loreal,Facial Essence,Beauty Makeup,2018-03-28
21199,1186100,37430,1,Apple,Phone,Electronics,2018-03-05
74409,1435988,144043,4,Loreal,Facial Essence,Beauty Makeup,2018-03-15
98606,1482665,235366,3,illuma,Milk Power,Mother and Infant,2018-04-12
6962,111402,86758,1,Apple,Tablet,Electronics,2018-03-06
148487,814810,121215,1,Olay,Face Cream,Beauty Makeup,2018-02-27
170677,871938,304098,1,Olay,Face Cream,Beauty Makeup,2018-03-09
174641,1448410,304451,1,Konka,Washing Machine,Household Eletric Appliance,2018-02-24
130527,151923,148711,1,Sumsung,Phone,Electronics,2018-02-03
183685,1527989,295344,1,Apple,Phone,Electronics,2018-03-18
117631,815745,269651,1,Other,Coat,Clothes,2018-03-08
119429,1319820,128397,1,H&M,Coat,Clothes,2018-02-05
62285,391567,328987,1,Apple,Phone,Electronics,2018-02-01
172416,357563,199583,1,Lipton,Tea,Food,2018-03-11
28088,1317526,247769,1,Other,Coat,Clothes,2018-03-17
150661,811253,224463,1,Lipton,Tea,Food,2018-04-10
23537,1418290,258948,1,Nikon,Digital Camera,Electronics,2018-02-01
69363,441978,328181,1,Lipton,Tea,Food,2018-04-11
166539,1546203,69869,1,LukFook,Necklace,Jewellery Accessories,2018-03-08
15410,1204929,97476,4,Haier,Television,Household Eletric Appliance,2018-03-15
125588,562339,17158,1,Other,Coat,Clothes,2018-03-01
180763,1130009,70925,1,Other,Candy,Food,2018-02-03
32849,36482,132994,1,Huawei,Phone,Electronics,2018-03-04
60569,1537646,82399,1,Apple,Phone,Electronics,2018-02-24
42088,847291,296668,1,Apple,Phone,Electronics,2018-02-01
170730,260679,320635,1,Other,Foundation Make-up,Beauty Makeup,2018-03-21
154017,701642,369328,1,Jeans West,Jeans,Clothes,2018-02-01
121551,63138,211266,1,Li-Ning,Badminton,Outdoor Sports,2018-04-02
134388,1153186,105391,1,Olay,Facial Moisturizer,Beauty Makeup,2018-03-04
10470,250604,334862,1,Midea,Refrigerator,Household Eletric Appliance,2018-03-13
81874,228433,189676,1,Lipton,Tea,Food,2018-03-17
171704,394636,187772,1,LEDIN,Coat,Clothes,2018-02-09
157447,1011139,121564,1,UNIQLO,Coat,Clothes,2018-02-10
20533,1389191,316819,1,DELL,Notebook,Electronics,2018-04-08
116133,439010,11435,1,Apple,Tablet,Electronics,2018-02-15
88644,73485,235019,1,illuma,Milk Power,Mother and Infant,2018-04-08
160680,1419111,67725,1,Innisfree,Foundation Make-up,Beauty Makeup,2018-03-30
180011,898527,12539,1,Supor,Electric Kettle,Household Eletric Appliance,2018-02-22
7697,734487,78628,1,Apple,Phone,Electronics,2018-02-14
115327,804606,10182,1,Acer,Notebook,Electronics,2018-03-08
161482,1254438,232211,1,Sony,Digital Camera,Electronics,2018-04-13
39354,1254579,224661,1,Other,Face Cream,Beauty Makeup,2018-03-22
176549,121991,229308,1,Other,Coffee,Food,2018-03-05
84018,1323389,135165,1,Other,Phone,Electronics,2018-02-05
106636,134972,312841,1,Other,Cookie,Food,2018-02-24
85853,1123745,293030,1,Other,Coat,Clothes,2018-04-10
463,139291,343451,1,Apple,Tablet,Electronics,2018-02-03
99325,1603316,193358,1,Huawei,Phone,Electronics,2018-02-16
147536,104782,205642,1,Estee Lauder,Lipstick,Beauty Makeup,2018-04-13
16538,381537,224987,1,Apple,Tablet,Electronics,2018-03-22
117081,1573205,207623,1,Sumsung,Phone,Electronics,2018-02-04
175171,780309,248051,1,Huawei,Phone,Electronics,2018-02-16
49357,719805,191016,1,Huawei,Phone,Electronics,2018-03-17
9379,1192998,38704,1,Lenovo,Notebook,Electronics,2018-02-08
129510,830550,224570,1,Other,Coat,Clothes,2018-04-07
170154,1219888,215892,1,Lenovo,Notebook,Electronics,2018-03-16
161767,560784,198767,1,Konka,Refrigerator,Household Eletric Appliance,2018-03-14
127123,1218407,214208,1,Apple,Phone,Electronics,2018-02-28
110383,1328323,76275,1,Opple,Light,Furniture,2018-03-25
117539,806263,139700,1,Li-Ning,Football,Outdoor Sports,2018-04-04
98405,176716,221257,5,Midea,Induction Cooker,Household Eletric Appliance,2018-04-04
169892,1155168,26046,1,Lipton,Tea,Food,2018-02-27
116779,59021,57874,1,Lipton,Tea,Food,2018-02-10
16763,727109,82408,1,Other,Phone,Electronics,2018-03-22
26365,376833,163516,1,Lipton,Tea,Food,2018-04-04
92295,987593,137160,5,Chow Taiseng,Necklace,Jewellery Accessories,2018-03-20
122477,197160,237354,1,DELL,Notebook,Electronics,2018-02-24
25262,260432,266106,1,Olay,Eye Shadow,Beauty Makeup,2018-04-07
28410,1047753,203089,1,Other,Milk,Food,2018-04-02
8353,916502,187549,1,Lipton,Tea,Food,2018-02-05
182231,1457063,371663,1,Other,Cookie,Food,2018-02-10
87531,216989,39473,1,Lipton,Tea,Food,2018-02-04
65118,712608,129772,1,Microsoft,Xbox,Electronics,2018-02-13
455,330242,345330,1,Other,Face Cream,Beauty Makeup,2018-02-28
714,1332397,360925,1,Huawei,Phone,Electronics,2018-04-07
6233,1190925,320999,1,HLA,Coat,Clothes,2018-02-04
183662,291402,230427,1,Huawei,Phone,Electronics,2018-03-17
1811,1202719,229924,1,Apple,Tablet,Electronics,2018-03-06
101514,1326217,47300,1,Lenovo,Notebook,Electronics,2018-02-23
11983,1213545,155893,1,Other,Coat,Clothes,2018-02-23
29203,1091518,280226,1,Other,Facial Moisturizer,Beauty Makeup,2018-04-10
133700,953726,315665,1,Quanyou,Bed,Furniture,2018-02-28
79500,132031,49598,1,Chando ,Facial Essence,Beauty Makeup,2018-03-20
85966,1085848,344088,1,Huawei,Phone,Electronics,2018-02-26
36143,502430,61926,1,Opple,Light,Furniture,2018-03-21
183335,796831,43094,1,Huawei,Phone,Electronics,2018-03-23
28361,1594293,98775,1,Li-Ning,Football,Outdoor Sports,2018-02-15
85695,1388697,101576,1,Other,Candy,Food,2018-04-05
181658,648715,87605,1,Other,Sweater,Clothes,2018-03-29
126434,648552,285733,1,Sony,Digital Camera,Electronics,2018-02-03
58519,829848,305406,4,H&M,Coat,Clothes,2018-02-02
99470,255529,296283,1,Other,Lipstick,Beauty Makeup,2018-03-29
151963,1131598,172809,1,Lipton,Tea,Food,2018-03-12
48309,726468,271395,1,Huawei,Phone,Electronics,2018-02-07
90281,1116103,149479,2,Other,Phone,Electronics,2018-03-18
166796,391579,213776,1,Apple,Phone,Electronics,2018-02-09
137206,796904,283021,1,Kuka,Bed,Furniture,2018-02-20
160418,634604,110282,1,Li-Ning,Football,Outdoor Sports,2018-02-24
79969,196034,63178,1,Other,Coat,Clothes,2018-02-05
131501,711980,344654,1,Sumsung,Phone,Electronics,2018-02-06
9637,733169,248051,1,Huawei,Phone,Electronics,2018-02-06
82682,709601,95112,1,Other,Coat,Clothes,2018-02-05
182082,514557,342683,1,Apple,Tablet,Electronics,2018-03-23
21634,414166,70205,1,Huawei,Phone,Electronics,2018-02-01
72545,736148,109571,1,Apple,Phone,Electronics,2018-02-06
51592,507189,7219,1,Apple,Phone,Electronics,2018-02-01
101612,468761,282296,1,Huawei,Phone,Electronics,2018-02-06
18681,820470,102559,1,Apple,Phone,Electronics,2018-02-17
180613,1556750,142082,1,Other,Perfume,Beauty Makeup,2018-03-02
156274,1514964,106020,1,Vivo,Phone,Electronics,2018-02-28
166627,148403,53268,1,Jeans West,Jeans,Clothes,2018-02-10
26637,1060275,212414,1,Sony,Digital Camera,Electronics,2018-02-27
167586,492318,257076,1,Lays,Potatio Chips,Food,2018-03-14
83462,315622,127642,1,Other,Coffee,Food,2018-03-30
41532,544171,258625,1,HLA,Coat,Clothes,2018-02-06
57218,1371842,335061,1,Other,Phone,Electronics,2018-02-16
93394,1600196,39473,2,Lipton,Tea,Food,2018-03-08
62818,459117,114328,1,Chow Tai Fook,Necklace,Jewellery Accessories,2018-03-24
174668,239207,356878,1,Li-Ning,Football,Outdoor Sports,2018-03-05
140404,951432,1722,1,Redmi,Phone,Electronics,2018-04-07
126993,459228,376457,1,Other,Coat,Clothes,2018-04-05
10855,720594,287204,1,Other,Coat,Clothes,2018-02-08
18864,28955,245983,1,Chando,Facial Mask,Beauty Makeup,2018-04-03
21320,120497,102559,1,Apple,Phone,Electronics,2018-02-05
127469,1063360,139554,1,Innisfree,Perfume,Beauty Makeup,2018-02-16
160727,1162478,223861,1,Other,Phone,Electronics,2018-02-10
60977,359127,368817,1,Li-Ning,Football,Outdoor Sports,2018-03-26
182653,284732,294853,1,Microsoft,Xbox,Electronics,2018-03-20
85704,143047,187358,1,Huawei,Phone,Electronics,2018-02-16
91657,785909,33211,5,Estee Lauder,Facial Moisturizer,Beauty Makeup,2018-03-19
144412,1382860,61269,1,Acer,Notebook,Electronics,2018-04-09
100922,926322,49158,1,Olay,Face Cream,Beauty Makeup,2018-02-13
183063,1400323,183177,1,Other,Milk,Food,2018-02-24
46629,749633,279903,1,Kuka,Sofa,Furniture,2018-02-14
174700,1342017,185236,1,Olay,Facial Essence,Beauty Makeup,2018-03-16
13451,167056,354257,4,Midea,Washing Machine,Household Eletric Appliance,2018-02-25
49590,733873,214203,1,Other,Candy,Food,2018-02-07
61621,379648,157971,1,Other,Phone,Electronics,2018-03-22
96719,719511,233892,3,illuma,Milk Power,Mother and Infant,2018-04-11
58427,70048,210815,1,Sony,Digital Camera,Electronics,2018-04-06
127575,1565591,291049,1,Microsoft,Xbox,Electronics,2018-03-04
60842,1414733,170121,1,Huawei,Phone,Electronics,2018-03-08
18923,1038065,162795,1,Other,Coat,Clothes,2018-04-06
22721,1060243,184165,1,Other,Coat,Clothes,2018-03-03
52718,1159828,59162,1,Sumsung,Phone,Electronics,2018-03-12
93369,866521,301310,3,Innisfree,Face Cream,Beauty Makeup,2018-04-13
14426,526043,221695,4,Gree,Air Conditioner,Household Eletric Appliance,2018-03-25
21535,612417,42990,1,Other,Lipstick,Beauty Makeup,2018-03-09
123579,139202,169788,1,Huawei,Phone,Electronics,2018-02-12
165033,664180,128621,1,Other,Coat,Clothes,2018-02-18
133355,173986,86785,1,Huawei,Phone,Electronics,2018-03-24
12462,638004,198914,1,Other,Facial Essence,Beauty Makeup,2018-03-07
93200,1273886,349383,2,Huawei,Tablet,Electronics,2018-04-14
2209,690046,273310,1,Huawei,Phone,Electronics,2018-02-13
55121,1504235,223084,1,Lipton,Tea,Food,2018-02-21
120318,467877,345059,1,Kuka,Bed,Furniture,2018-02-08
22858,1243617,126121,1,Supor,Rice Cooker,Household Eletric Appliance,2018-03-15
108061,1177285,370756,1,Other,Facial Moisturizer,Beauty Makeup,2018-04-06
85870,804172,138910,1,Oreo,Cookie,Food,2018-02-09
77116,296005,81445,1,PEACEBIRD,Coat,Clothes,2018-03-29
14017,140750,107331,4,Olay,Sunscreen Cream,Beauty Makeup,2018-02-07
51709,1437513,316420,1,Sony,Digital Camera,Electronics,2018-03-23
33263,431676,652,1,Haier,Television,Household Eletric Appliance,2018-04-06
140499,1369372,191016,1,Huawei,Phone,Electronics,2018-02-05
76047,1355630,52874,4,Li-Ning,Badminton,Outdoor Sports,2018-04-02
31464,313979,158139,1,HLA,Coat,Clothes,2018-03-07
36363,359440,193886,1,Lenovo,Notebook,Electronics,2018-03-16
154564,547331,191016,1,Huawei,Phone,Electronics,2018-02-07
47969,399646,162481,1,UNIQLO,Coat,Clothes,2018-03-07
13421,1053572,47564,4,Midea,Refrigerator,Household Eletric Appliance,2018-02-23
10901,1490975,119044,1,Other,Foundation Make-up,Beauty Makeup,2018-03-25
26536,1173499,175353,1,Apple,Phone,Electronics,2018-02-17
109113,321709,171198,1,Other,Perfume,Beauty Makeup,2018-02-04
78259,904061,327970,1,Huawei,Phone,Electronics,2018-02-08
151653,1389603,258492,1,Apple,Phone,Electronics,2018-03-19
39037,25873,73901,1,meiji,Chocolate,Food,2018-03-09
168889,301705,205441,1,Apple,Phone,Electronics,2018-02-15
171787,723271,141467,1,Other,Coat,Clothes,2018-02-06
175230,376060,167391,1,Other,Phone,Electronics,2018-04-12
133541,313124,45226,1,Joyoung,Rice Cooker,Household Eletric Appliance,2018-03-31
107076,602431,234069,1,Kuka,Bed,Furniture,2018-03-16
123686,1017834,3323,1,Other,Coat,Clothes,2018-02-18
159372,99337,267947,1,Other,Coat,Clothes,2018-03-25
23488,968265,260601,1,Other,Milk,Food,2018-02-25
142272,546457,287799,1,Sumsung,Phone,Electronics,2018-02-12
69719,1130058,138369,1,Lipton,Tea,Food,2018-04-01
33506,897616,326008,1,Other,Foundation Make-up,Beauty Makeup,2018-04-09
133292,1580853,274366,1,Sony,Digital Camera,Electronics,2018-04-09
175160,1191699,249809,1,Huawei,Tablet,Electronics,2018-02-06
76621,840786,121810,1,Midea,Induction Cooker,Household Eletric Appliance,2018-04-03
35157,684879,262644,1,Acer,Notebook,Electronics,2018-04-11
175206,732468,368497,1,Other,Candy,Food,2018-02-06
71842,779838,67449,1,Apple,Phone,Electronics,2018-02-02
105863,1385883,49213,1,Vivo,Phone,Electronics,2018-02-14
47634,1091730,277448,1,Other,Coffee,Food,2018-03-12
133419,614169,252147,1,Nikon,Digital Camera,Electronics,2018-02-08
183487,338464,370673,1,Huawei,Phone,Electronics,2018-03-20
181324,863,90139,1,Other,Coat,Clothes,2018-02-06
175208,583501,138963,1,Lenovo,Notebook,Electronics,2018-02-13
85776,131204,331320,1,Vivo,Phone,Electronics,2018-03-20
102376,763297,41290,1,Other,Coat,Clothes,2018-02-03
129859,1368713,220946,1,Other,Makerup Water,Beauty Makeup,2018-03-06
60803,456628,272546,1,Li-Ning,Badminton,Outdoor Sports,2018-02-08
130969,1288665,142280,1,Huawei,Phone,Electronics,2018-02-05
14161,105825,333227,4,Midea,Induction Cooker,Household Eletric Appliance,2018-03-15
56754,208424,23244,1,Apple,Phone,Electronics,2018-03-21
55458,1119365,332542,1,Other,Cookie,Food,2018-04-09
105212,1424591,90016,1,Other,Coat,Clothes,2018-02-08
49426,682883,195230,1,ZARA,Coat,Clothes,2018-03-11
162873,692452,182305,1,Other,Coat,Clothes,2018-02-08
107837,1501842,327304,1,meiji,Chocolate,Food,2018-02-21
51425,93234,135002,1,Kuka,Sofa,Furniture,2018-03-12
135684,923247,268835,1,Other,Phone,Electronics,2018-02-26
182577,683231,63161,1,Lenovo,Notebook,Electronics,2018-03-14
58907,770679,145908,4,Other,Milk,Food,2018-02-28
97517,434045,374293,2,illuma,Milk Power,Mother and Infant,2018-02-06
104935,166703,46315,1,Other,Milk,Food,2018-04-12
126514,1170788,227113,1,LEDIN,Coat,Clothes,2018-02-26
91396,205665,126304,2,Other,Phone,Electronics,2018-04-03
19665,596998,252301,1,H&M,Coat,Clothes,2018-03-10
20120,478938,77059,1,Other,Perfume,Beauty Makeup,2018-02-23
41963,404300,291416,1,Other,Coat,Clothes,2018-02-02
49881,697517,143130,1,Acer,Notebook,Electronics,2018-03-04
25982,231316,224393,1,LukFook,Ring,Jewellery Accessories,2018-04-05
125488,1080525,197483,1,Other,Facial Moisturizer,Beauty Makeup,2018-02-18
56866,1599675,263801,1,DELL,Notebook,Electronics,2018-02-16
19323,240788,50171,1,Huawei,Phone,Electronics,2018-03-05
43322,307707,332425,1,Apple,Phone,Electronics,2018-03-03
25377,849401,120559,1,Kuka,Bed,Furniture,2018-02-01
37014,938032,280991,1,Sony,Digital Camera,Electronics,2018-02-23
95334,688565,378210,2,Redmi,Phone,Electronics,2018-02-11
180433,555949,128358,1,Other,Face Cream,Beauty Makeup,2018-03-04
6919,1549332,170024,1,Other,Cookie,Food,2018-04-10
56183,1268651,156525,1,Microsoft,Xbox,Electronics,2018-02-07
18181,431629,22626,1,Other,Facial Mask,Beauty Makeup,2018-04-12
42048,98660,43555,1,Redmi,Phone,Electronics,2018-03-10
155398,105299,257244,1,Other,Coat,Clothes,2018-02-06
1946,76759,235858,1,Other,Coat,Clothes,2018-03-17
94575,1577816,9806,3,Innisfree,Face Cream,Beauty Makeup,2018-04-13
150335,978130,68201,1,Kuka,Bed,Furniture,2018-02-25
154765,478390,129356,1,Other,Coat,Clothes,2018-02-26
51007,129570,4220,1,Huawei,Phone,Electronics,2018-02-03
78620,396471,2900,1,Acer,Notebook,Electronics,2018-03-30
61449,427918,110710,1,Nestle,Coffee,Food,2018-03-23
51637,563167,330819,1,Supor,Electric Kettle,Household Eletric Appliance,2018-03-14
128887,623249,127370,1,Apple,Phone,Electronics,2018-03-07
94736,754136,226196,2,Other,Cookie,Food,2018-03-14
73047,1447478,71546,1,Microsoft,Xbox,Electronics,2018-02-02
120214,1333670,42080,1,PEACEBIRD,Coat,Clothes,2018-03-11
154858,658077,242437,1,Huawei,Phone,Electronics,2018-04-07
38092,1274512,302330,1,Other,Cookie,Food,2018-04-09
136772,426365,278663,1,Midea,Induction Cooker,Household Eletric Appliance,2018-03-18
95539,394068,358501,3,Other,Candy,Food,2018-04-09
116217,176691,206250,1,Lancome,Makerup Water,Beauty Makeup,2018-02-21
38998,592975,121331,1,Huawei,Phone,Electronics,2018-02-14
12162,918716,70358,1,Nikon,Digital Camera,Electronics,2018-02-13
157125,501146,14772,1,Huawei,Phone,Electronics,2018-04-14
48038,863642,246799,1,Olay,Face Cream,Beauty Makeup,2018-02-01
81617,1183414,225338,1,Chow Taiseng,Necklace,Jewellery Accessories,2018-02-18
141461,49058,289497,1,Huawei,Phone,Electronics,2018-02-17
2592,1440454,279217,1,Other,Facial Moisturizer,Beauty Makeup,2018-03-05
108947,1416903,141930,1,H&M,Coat,Clothes,2018-02-05
50997,709278,265808,1,Other,Sunscreen Cream,Beauty Makeup,2018-02-05
141119,439404,336924,1,Innisfree,Eye Shadow,Beauty Makeup,2018-04-06
