vender_id,shop_id,fans_num,vip_num,shop_reg_tm,cate,shop_score
2381,5006,3469,45699,2018-4-2,,9.962323
2489,8834,25814,7366,2018-4-2,,9.647588
6012,6761,806,7655,2014-7-4,,-1
1010,5521,665,1486,2018-3-30,,-1
1293,8018,946,7559,2018-4-3,,9.961213
4323,8429,22147,5322,2018-4-6,,9.756728
6716,6857,304,15905,2018-4-2,,9.53976
4580,7321,73,3408,2018-4-1,,9.559491
2236,6571,1108,2572,2018-3-31,,9.543673
4917,5253,421,2156,2018-3-28,,9.582667
8752,4813,279,350,2018-4-2,,9.902624
6311,7047,24535,3264,2018-4-2,,9.818779
944,59,10744,1519,2018-3-30,,0
8795,5127,22979,864,2018-4-2,,9.793431
7741,3307,4490,3741,2018-3-27,,-1
8285,9331,790,14182,2018-4-3,,9.62259
5662,9661,1725,3364,2018-3-29,,-1
1917,147,23157,6024,2018-3-27,,10
5648,4927,426,878,2018-4-9,,-1
2888,8794,22,553,2018-4-8,,9.729833
7103,3946,591,2220,2018-3-29,,9.929413
9614,7755,11858,1711,2018-3-26,,9.742332
7271,1086,248,1067,2018-3-28,,9.938892
8831,3623,10,1,2018-3-27,,0
1862,6538,37,828,2018-3-30,,9.630636
3158,4212,50541,79348,2018-3-28,,9.643957
4378,5658,5115,39247,2018-3-24,,9.710846
1528,9691,32043,2614,2018-3-27,,9.831441
650,7138,1222,4382,2018-3-30,,-1
7122,7394,872,898,2018-3-29,,-1
6202,2729,217,1070,2018-3-26,,-1
4665,9046,44,677,2018-3-29,,-1
1809,3504,29,389,2018-3-23,,-1
4754,3522,65152,6456,2018-3-23,,-1
8277,5577,86,14,2018-4-9,,-1
7394,4895,110,121,2018-4-4,,-1
8734,5988,744,4632,2018-4-2,,9.958559
3632,9292,3030,2972,2018-3-26,,-1
6277,10215,2247,4161,2018-3-31,,9.495481
7257,2584,342,5201,2018-3-26,,9.742859
2579,6513,19485,26146,2018-3-24,,9.725413
3094,6699,10685,1700,2018-3-29,,10
5742,2071,820,1950,2018-3-22,,9.940904
2417,6375,277,3224,2018-3-21,,-1
3662,6352,22903,86,2018-3-19,,-1
4572,7930,1095,30302,2014-7-3,,-1
8645,10369,829,1122,2014-6-27,,-1
269,6160,23726,870,2018-4-2,,9.976431
407,642,1051,2542,2018-3-26,,9.71309
7212,6613,783,4495,2014-7-1,,-1
7864,888,19095,268,2018-3-22,,-1
8055,1996,560,1214,2018-3-23,,-1
1694,7607,1146,3858,2018-3-26,,9.787392
5086,2773,6182,9575,2018-3-20,,-1
3133,2477,70,31,2018-3-16,,-1
8749,8889,160,7505,2018-4-12,,9.722914
1778,3548,36095,4573,2018-3-19,,-1
4283,3978,1131,10091,2018-3-26,,9.73887
7737,8811,20798,227,2018-3-19,,0
8591,7301,52,0,2018-3-17,,-1
6885,4346,113930,2596,2018-4-8,,9.81897
7922,2702,2518,5768,2018-3-19,,-1
7473,6606,22766,4484,2018-3-26,,10
7180,5311,59,17,2018-3-20,,-1
7545,9693,1793,3292,2018-3-19,,-1
4540,10090,437,835,2018-3-29,,-1
2958,8653,0,0,2018-3-23,,-1
8636,7499,410,1187,2018-3-27,,9.827818
4077,1145,24,14,2018-3-21,,-1
4385,7116,210,283,2018-3-14,,0
5701,8607,20752,324,2018-4-4,,9.767172
1665,2788,17466,3612,2018-3-29,,-1
3622,3022,54,1420,2018-3-18,,-1
2839,3782,557,2435,2018-3-10,,9.763747
7082,7250,22262,1827,2018-3-29,,-1
9393,1171,961,1589,2018-3-14,,-1
3425,7774,3033,4605,2018-3-28,,9.771972
7099,9989,3376,4707,2018-3-13,,9.607223
6549,4906,148,2535,2018-3-12,,9.470787
2064,7725,56,77,2018-3-9,,0
7426,519,100,4135,2018-3-21,,9.758765
8132,8518,3,193,2018-3-13,,-1
5709,5665,106,20,2018-3-22,,-1
8356,5661,3682,23944,2018-3-20,,9.965709
6594,988,5521,1869,2018-3-8,,9.688882
2355,1153,249,882,2018-4-10,,-1
7978,8824,1919,347,2018-3-16,,9.701713
8766,8784,20,59,2018-3-6,,0
1641,6236,11,4,2018-3-7,,-1
1491,5755,347,729,2018-3-5,,9.643761
5535,8615,4100,2504,2018-3-2,,9.901035
6674,635,19,15,2018-3-2,,-1
175,10158,35493,13122,2018-3-2,,9.825688
5784,10325,10,1,2018-4-2,,-1
164,3040,6384,5247,2018-4-1,,9.508516
2203,3922,87,403,2018-3-30,,-1
6213,1503,23464,1415,2018-2-27,,-1
2847,8614,54,196,2018-2-27,,-1
7927,6829,31109,4953,2018-3-2,,0
3243,10066,355,766,2018-3-1,,9.629586
2813,5917,3,11,2018-2-26,,-1
5437,6398,207,340,2014-7-2,,-1
7774,5507,4,74,2018-3-8,,-1
7892,915,744,2418,2018-3-16,,9.845773
3739,8820,14,11,2018-4-9,,-1
3202,6053,257,1812,2018-3-7,,9.862955
4757,4160,0,0,2018-3-22,,0
9213,9314,428,390,2018-2-28,,-1
2008,5317,28263,14127,2018-4-1,,9.96654
9227,1621,89,20,2018-3-21,,-1
4678,7975,0,0,2018-2-24,,0
1038,10162,2,8,2018-3-24,,0
5543,4391,4215,70,2018-2-9,,0
1224,6153,20774,2122,2018-2-9,,9.262213
4974,5713,602,7429,2014-6-30,,-1
7644,8107,584,805,2014-6-23,,-1
8462,7421,20676,100,2018-2-5,,9.460123
5940,9650,24331,5747,2018-1-31,,9.938805
9112,3293,30630,28312,2018-2-7,,9.857316
51,9773,3089,5751,2018-1-31,,9.729695
6704,8109,31,202,2018-1-25,,0
2805,412,1559,7727,2018-3-29,,9.880256
4500,4447,1227,486,2018-3-5,,-1
5388,5572,59,177,2018-3-9,,9.913987
886,680,3544,6422,2018-2-3,,0
2024,8683,22398,14489,2018-3-21,,9.686438
7621,8232,10,12,2018-1-31,,-1
6,4473,42,223,2018-1-19,,-1
7073,5741,36,224,2018-1-19,,-1
6332,7972,93,298,2018-1-24,,9.826595
6131,1974,52294,2657,2018-1-19,,-1
4565,4647,805,1138,2018-1-22,,9.768875
8309,6648,39,213,2018-1-19,,-1
9495,1601,5949,2733,2018-1-17,,-1
4338,3670,22606,3422,2018-3-21,,9.817166
3984,7343,59,14,2018-1-17,,-1
7844,2387,90726,20746,2018-3-29,,8.85579
5552,944,867,2267,2018-1-15,,-1
103,8709,137,1189,2018-1-13,,-1
8365,5246,81,413,2018-3-31,,-1
8336,7094,1359,1614,2018-1-12,,-1
2411,10237,24843,1347,2018-3-22,,9.662544
875,7235,10583,32,2018-1-19,,-1
1763,1512,1033,8314,2018-1-13,,9.935357
59,7952,0,1,2018-1-11,,0
9149,7618,4,0,2018-1-17,,-1
9192,6792,73,22,2018-1-19,,0
5790,5487,825,1595,2018-3-2,,9.704289
8223,3007,7057,4411,2018-3-16,,-1
2684,8915,2304,4449,2018-1-9,,9.919699
6542,5668,748,158,2018-3-22,,-1
5431,8630,924,12623,2014-6-24,,-1
6465,2517,20537,496,2018-1-8,,-1
3825,8699,7,58,2018-1-4,,-1
7832,4587,435,7706,2014-6-30,,-1
1622,6076,48,3,2018-1-11,,-1
3398,2754,75,239,2018-1-10,,-1
2583,1759,11,8,2018-1-8,,0
9389,712,26,30,2018-1-7,,-1
6504,3570,32,118,2018-1-5,,-1
2709,1072,41,155,2018-1-5,,-1
7979,6924,3,4,2018-1-5,,-1
1883,8613,40,115,2018-1-10,,-1
4122,316,188363,11498,2018-1-29,,9.694502
1814,7187,6,2,2017-12-28,,-1
6527,8009,6,15,2017-12-29,,-1
6621,3533,0,0,2017-12-25,,0
8696,5780,1,198,2018-1-8,,-1
5798,1192,3,4,2018-1-8,,-1
2268,4872,22,9,2017-12-22,,-1
1223,4988,190,168,2017-12-22,,-1
1239,7013,1,0,2018-1-10,,0
9114,7993,3,2,2017-12-26,,-1
3505,4202,233,233,2017-12-25,,-1
3648,8948,23050,1894,2018-3-23,,9.687324
8468,10085,8,7,2018-3-8,,0
2481,1764,1843,12457,2014-6-19,,-1
9319,8087,40,27,2017-12-21,,-1
534,6263,14,6,2018-1-10,,-1
3575,7230,440,3108,2017-12-11,,-1
4361,444,1158,3162,2014-7-7,,-1
2694,6125,16,4,2017-12-18,,-1
2778,4061,2096,1018,2017-12-19,,-1
7706,9945,2,16,2017-12-14,,-1
4680,9960,266,12,2017-12-15,,-1
221,4826,268,2217,2017-12-19,,-1
8633,8908,12,27,2017-12-22,,-1
6122,5566,0,201,2017-12-21,,-1
7786,2308,10,14,2017-12-13,,0
9044,6089,429,158,2017-12-6,,-1
3700,3332,44,43,2017-12-28,,-1
4787,8432,4664,9617,2014-6-17,,-1
6133,8132,11,6,2017-12-22,,-1
8612,5616,1,1,2017-12-25,,0
4855,7467,10,316,2017-12-3,,-1
5166,8210,0,0,2017-12-23,,0
7197,8788,85,468,2017-12-4,,-1
574,5593,1,0,2017-12-1,,0
2080,10063,19,250,2018-3-12,,-1
6680,6987,1769,159,2017-12-18,,-1
5454,5554,8,45,2017-12-18,,-1
1403,7361,5,0,2017-12-6,,0
9348,6041,85,23,2017-12-4,,-1
4799,4271,52646,494,2017-12-8,,-1
548,7366,20,329,2017-11-27,,-1
4455,4658,20,56,2017-11-28,,-1
183,7980,1775,9078,2014-6-18,,-1
6868,9876,1763,3281,2017-11-23,,-1
7625,8659,464,1079,2017-11-24,,-1
7125,3506,3,10,2017-11-24,,-1
9295,2701,5,13,2017-12-1,,-1
7975,5609,244,949,2014-6-12,,-1
1707,1550,30230,393,2017-11-27,,-1
5288,7656,20,8,2017-11-27,,-1
31,2654,1,0,2017-11-23,,-1
1948,2254,423,434,2017-11-30,,-1
378,5698,952,47,2017-11-22,,-1
8898,8457,7,2,2018-1-6,,-1
6238,3216,48,114,2017-11-20,,-1
5919,1126,191,319,2017-11-22,,-1
4813,5096,5,0,2018-1-22,,0
5585,4684,109,0,2017-11-28,,-1
5569,5656,9,1035,2017-11-23,,-1
2844,2548,8231,34306,2014-6-11,,-1
1511,8559,475,1209,2014-7-4,,-1
1261,7323,56,4224,2017-11-15,,-1
6397,10020,338,8550,2014-7-30,,-1
9491,7031,552,462,2017-11-13,,-1
5856,9015,978,12019,2014-6-10,,-1
575,3801,10,11,2017-11-21,,-1
1121,2217,8,121,2017-11-18,,-1
5908,10083,14,16,2017-11-6,,-1
6015,5109,26,14,2017-11-15,,-1
8432,517,26833,9951,2014-6-26,,-1
4056,5502,295,744,2014-7-2,,-1
4573,2694,8,7,2017-12-4,,-1
7858,9197,0,0,2017-11-4,,0
3832,8492,79,65,2017-12-8,,-1
9359,2343,85,1244,2017-11-7,,-1
9574,7582,272,77,2017-11-1,,-1
1061,6454,261,760,2017-11-29,,-1
3692,8267,403,98,2017-11-2,,-1
5802,6171,4,49,2017-11-2,,-1
3429,6333,13,970,2018-1-2,,-1
2057,3990,62,188,2017-10-27,,-1
3978,8373,11726,463,2017-10-26,,-1
9538,1475,10,194,2017-11-2,,-1
5118,7016,25,25,2017-11-6,,-1
6451,7837,9,2,2017-10-26,,-1
5894,9104,218,382,2017-10-23,,-1
8540,9604,19,6,2017-11-3,,-1
3526,9829,33,7,2017-11-10,,-1
4044,4840,4,8,2017-10-31,,-1
1219,5097,12,0,2017-11-6,,-1
2897,4572,1058,9582,2014-6-9,,-1
6208,2835,51534,576,2017-10-20,,-1
6756,7073,3,4,2018-1-31,,-1
9118,2581,9,17,2017-10-26,,-1
2933,4009,36528,906,2017-10-24,,-1
3497,9835,704,9841,2014-6-17,,-1
9301,3444,2,0,2017-11-22,,-1
7421,3445,3,2,2017-10-13,,-1
1857,698,20,7,2017-10-18,,-1
3261,3818,733,2865,2014-6-5,,-1
1381,9332,38,1012,2017-10-12,,-1
1987,2185,363,724,2017-10-31,,-1
3842,3508,2,57,2017-11-10,,-1
4545,3757,49,68,2017-10-9,,-1
8606,6841,7,34,2017-10-12,,-1
2140,815,39,1,2017-10-9,,-1
553,8385,318,1069,2014-6-26,,-1
2227,5191,9,45,2017-10-17,,-1
9688,6409,1,3,2017-10-9,,-1
6501,6270,7,200,2017-10-9,,-1
435,6049,477,663,2017-10-11,,9.517507
7382,4941,20,140,2017-9-30,,-1
3333,6023,265,230,2014-6-9,,-1
4094,6731,291,867,2017-9-27,,-1
6456,475,3804,9362,2014-5-30,,-1
6567,3136,70,0,2017-10-10,,0
6550,5510,4,60,2017-9-28,,-1
9196,7609,387,2740,2014-5-30,,-1
884,3525,17,279,2017-9-28,,-1
338,7781,2,2,2017-9-27,,-1
9734,2017,10,0,2017-9-25,,0
2176,7102,624,63,2017-9-25,,-1
2690,8934,5,37,2017-10-12,,-1
1472,2392,2,0,2017-9-22,,-1
5867,5029,2528,3791,2017-9-19,,-1
1241,6875,39,292,2017-9-30,,-1
6575,10312,58,0,2017-9-21,,-1
8109,8193,38,164,2017-9-19,,-1
5504,1466,242,26,2014-6-9,,-1
9054,399,10,42,2017-9-17,,-1
8914,5603,254,4177,2017-9-15,,-1
520,6873,38,753,2017-9-13,,9.712239
5530,5550,13,3,2017-9-25,,-1
1445,6373,1850,14155,2014-6-3,,-1
1374,7729,57,310,2017-10-22,,-1
4626,3476,115,363,2017-9-6,,-1
4880,1067,8,34,2017-10-20,,-1
8326,6282,1106,1919,2017-9-6,,-1
5698,3437,1,2,2017-9-13,,-1
9716,1251,73,234,2017-9-6,,-1
5741,7999,1338,9968,2017-10-13,,-1
5140,4573,1,5,2017-9-11,,-1
4740,2527,188,1573,2017-9-7,,-1
709,8418,249,6,2014-6-5,,-1
7030,3226,147,427,2017-9-7,,-1
4605,1481,227,559,2017-9-7,,-1
4961,5028,4974,15311,2014-5-28,,-1
6446,6656,42,32,2017-9-7,,-1
6812,2461,146,408,2017-9-7,,-1
1898,5769,1524,3191,2017-9-7,,-1
2962,1757,120,5656,2017-9-7,,-1
7114,8053,17,38,2017-8-31,,-1
6194,790,3102,4673,2017-9-2,,-1
7838,9274,22,26,2017-9-27,,-1
2949,5116,1,8,2017-11-23,,-1
7819,847,125,1377,2017-8-30,,-1
8855,3544,194,265,2017-8-30,,-1
6341,4470,9,42,2017-8-30,,-1
1972,3958,398,851,2017-8-28,,-1
8958,298,8258,542,2017-8-30,,-1
1125,9560,5049,2202,2017-8-31,,-1
5902,9042,463,1109,2017-9-1,,-1
1656,6007,78,1104,2017-9-7,,-1
640,6727,28,1593,2017-8-25,,-1
5341,6864,3968,2180,2017-8-23,,-1
258,9857,2291,3932,2017-8-21,,-1
8029,9330,656,1433,2017-8-23,,-1
811,5799,77,130,2017-8-18,,-1
5582,3804,812,2268,2017-8-18,,-1
3327,7053,2564,9163,2017-8-14,,-1
2391,940,11,884,2017-8-10,,-1
8530,7741,204,486,2017-8-17,,-1
6054,9741,25,768,2017-8-16,,-1
5484,5754,1,36,2017-8-16,,-1
5531,2975,2251,7394,2017-8-16,,-1
7233,1753,477,977,2014-5-21,,-1
3201,7454,36,11,2017-8-14,,-1
4030,2321,335,405,2014-5-27,,-1
4782,153,3982,15834,2014-6-13,,-1
821,6492,6,1,2018-2-13,,-1
675,7548,8444,2123,2017-8-10,,-1
6811,328,250,126,2014-5-27,,-1
1201,9270,131,167,2017-8-8,,-1
7432,419,3,12,2017-8-15,,-1
1992,4980,5,476,2017-8-8,,-1
9484,5757,40,2530,2017-8-6,,-1
1603,1939,1,0,2017-9-18,,-1
9622,7244,181,148,2017-8-4,,-1
2665,6947,337,705,2017-8-7,,-1
8623,1007,1346,4654,2014-5-21,,-1
5182,560,450,100,2017-8-3,,-1
3500,9881,25,194,2017-8-21,,-1
4958,7077,14,3,2017-8-7,,-1
1978,4544,360,583,2017-8-1,,-1
7274,7080,103,718,2017-8-6,,-1
283,752,945,1302,2014-6-6,,-1
251,3127,12,85,2017-9-5,,-1
4227,2023,21758,81237,2014-6-24,,-1
3852,1774,4605,8742,2017-7-27,,-1
6420,7309,7,20,2017-7-24,,-1
7275,5155,658,124,2017-7-21,,-1
2459,893,25380,4215,2017-7-21,,-1
5189,4703,788,493,2017-7-19,,-1
8091,1810,12,1,2017-7-21,,-1
2347,5949,65,11,2017-7-20,,-1
4101,4351,1,7,2017-7-31,,-1
3020,6968,295,17092,2017-7-11,,-1
8566,7337,874,3629,2014-5-30,,-1
1983,1746,15,622,2017-10-28,,-1
1731,7234,42,236,2017-7-7,,-1
6989,4588,257,993,2014-5-28,,-1
512,1732,772,878,2014-5-16,,-1
6784,4879,242,370,2017-7-20,,-1
7796,4246,21186,1197,2017-7-5,,-1
9431,7758,7,1,2017-7-3,,-1
3559,9742,528,4673,2014-5-20,,-1
5031,534,961,9359,2014-6-6,,-1
3346,543,3884,755,2017-7-8,,-1
848,1574,39730,6292,2018-4-7,,-1
5227,8703,10502,4324,2017-7-7,,-1
7821,4561,483,875,2017-7-26,,-1
3958,10391,265,748,2014-5-22,,-1
3530,6209,157,167,2017-7-7,,-1
5544,9053,6344,1885,2017-6-29,,-1
4399,2942,1409,986,2017-6-28,,-1
86,4613,1217,2349,2017-7-3,,-1
4029,3081,3693,11594,2014-8-20,,-1
1510,7484,2636,1942,2017-7-4,,-1
6107,7682,449,6108,2015-2-9,,-1
496,4673,54,5,2017-8-24,,-1
7808,4074,656,1762,2017-6-26,,-1
7480,4324,1742,9100,2017-6-20,,-1
5634,3342,73,121,2017-6-21,,-1
5344,2088,156,241,2017-6-20,,-1
577,120,70,69,2017-6-30,,-1
1964,10059,3369,1440,2017-6-19,,-1
1675,4322,297,381,2017-6-14,,-1
4928,9028,264,934,2017-6-29,,-1
3226,7417,5,1,2017-7-14,,-1
9158,871,921,947,2017-6-23,,-1
5645,3180,118,829,2017-6-29,,-1
9494,2467,38,98,2017-6-27,,-1
5195,6945,4868,14243,2014-6-10,,-1
788,5382,1819,1294,2017-6-13,,-1
4798,1781,5379,1256,2017-6-13,,-1
3510,5802,262,972,2017-6-12,,-1
4898,1091,9,23,2017-6-24,,-1
6090,4467,106,309,2017-6-2,,-1
936,9350,18,4,2017-6-12,,-1
6313,7936,1614,253,2017-7-5,,-1
4750,1491,51,791,2017-6-1,,-1
6316,2782,5,3,2017-6-13,,-1
8563,968,5,265,2017-6-9,,-1
3764,4201,84,630,2017-6-5,,-1
2926,3728,1420,998,2017-6-7,,-1
4247,5392,225,321,2014-6-5,,-1
2581,7481,222,129,2014-5-15,,-1
370,8577,19,1292,2017-5-26,,-1
3002,7354,531,4990,2017-6-1,,-1
9616,76,20,2,2017-6-29,,-1
6947,9110,686,164,2017-6-12,,-1
5743,2086,485,522,2017-5-30,,-1
8173,7840,26598,755,2017-5-26,,-1
4124,4186,118,153,2017-5-31,,-1
559,3690,795,1602,2017-6-5,,-1
8147,5051,3388,22375,2014-5-5,,-1
7281,7766,2349,2138,2017-5-24,,-1
1631,6304,585,1205,2017-6-6,,-1
6694,3995,3,0,2017-6-29,,-1
6696,9874,1276,4055,2017-5-17,,-1
6036,5389,70,39,2017-5-20,,-1
2032,2574,100,189,2017-5-22,,-1
7293,1808,11059,845,2017-5-12,,-1
9217,2905,21,16,2017-5-12,,-1
2354,6401,1041,1107,2017-5-15,,-1
418,3770,173,16905,2017-5-12,,-1
892,10103,252,707,2017-5-12,,-1
8779,7200,237,633,2017-5-18,,-1
6055,4838,2325,10585,2017-5-18,,-1
207,5485,455,1170,2017-5-9,,-1
5171,3616,4,0,2017-5-16,,0
6644,2723,19,57,2017-5-19,,-1
5652,6582,88,2074,2017-5-3,,-1
573,5851,615,2416,2017-5-5,,-1
7129,7756,21799,9918,2017-6-2,,-1
930,10121,849,1323,2017-4-28,,-1
8545,7943,338,566,2017-5-5,,-1
2025,5009,1,8,2017-5-24,,-1
4390,2406,1315,3869,2017-4-27,,-1
1221,3787,60,1354,2017-5-3,,-1
5090,589,335,4959,2017-4-26,,-1
810,309,148,5113,2017-4-27,,-1
8478,1265,3692,8087,2017-5-15,,-1
8772,361,1918,3353,2017-4-24,,-1
9715,252,26,16,2017-4-28,,-1
3356,1659,2477,4317,2014-5-7,,-1
9657,6966,639,965,2017-4-28,,-1
4089,8023,212,2323,2017-7-12,,-1
1119,3044,372,2323,2017-4-24,,-1
3272,8726,8536,3290,2017-4-19,,-1
8475,5,52,414,2017-4-19,,-1
4552,5548,249,447,2017-4-19,,-1
3141,107,18269,37644,2017-4-19,,-1
7544,9334,1215,2637,2017-4-23,,-1
1882,2482,173,760,2017-4-18,,-1
6893,1378,10841,1562,2017-4-18,,-1
9327,7418,16,227,2017-4-17,,-1
4849,1197,280,696,2017-5-9,,-1
794,608,439,1142,2017-4-19,,0
2453,5571,321,231,2017-4-30,,-1
1568,688,811,2576,2017-4-26,,-1
5796,2511,1117,2552,2017-4-17,,-1
6119,1529,40,62,2017-4-24,,-1
4032,3701,2,74,2017-4-21,,-1
4051,9714,187,479,2017-4-18,,-1
4478,9678,2251,2504,2017-5-5,,-1
6086,6789,204,2097,2017-4-12,,-1
5854,2961,1,5,2017-4-13,,-1
7553,3566,1029,7021,2014-5-8,,-1
2165,1483,323,2712,2017-4-22,,-1
6633,9943,719,669,2017-4-12,,-1
8579,5375,34,1304,2017-4-10,,-1
725,7363,59,490,2017-4-7,,-1
9600,9095,2718,9,2017-4-11,,-1
8094,495,335,113,2017-4-10,,-1
2499,5003,2700,1110,2017-4-17,,-1
3973,4198,1223,534,2017-4-7,,-1
8891,10033,0,0,2017-4-19,,0
5013,3251,3431,34281,2014-4-26,,-1
6440,1366,1554,6391,2017-3-31,,-1
76,2918,468,1861,2017-4-10,,-1
5003,2213,52,3560,2017-3-28,,-1
1320,10077,828,3114,2017-3-29,,-1
5684,8264,110,398,2017-3-29,,-1
4453,323,686,5999,2017-3-28,,-1
2401,3499,1100,3152,2017-3-29,,-1
2541,1941,4043,24245,2017-3-27,,-1
4639,1551,163,1118,2017-3-31,,-1
1861,8313,2747,8195,2014-6-5,,-1
2117,2840,9,61,2017-3-29,,-1
5932,6035,149,1812,2017-3-24,,-1
8931,7970,226,1918,2017-3-24,,-1
3730,5430,9,96,2017-4-5,,-1
3061,2037,58,576,2017-3-31,,-1
9087,9008,16,126,2017-3-22,,-1
1680,2158,54,201,2017-3-30,,-1
7439,1620,123,3633,2017-3-23,,-1
7005,9936,6,65,2017-4-11,,-1
2857,4087,195,4406,2017-3-21,,-1
8113,5715,278,8454,2017-3-21,,-1
4548,7799,3749,10722,2017-3-20,,-1
3023,1256,457,1159,2017-6-7,,-1
4105,5671,69,187,2017-3-20,,-1
3070,6393,175,2144,2017-3-16,,-1
4991,8605,515,26,2017-3-18,,-1
8751,2855,6812,9067,2017-4-5,,-1
9639,2300,24,6,2017-4-5,,-1
827,5607,10,0,2017-4-15,,-1
5461,7508,0,14,2017-3-30,,-1
1533,9084,1935,12,2017-3-30,,-1
1884,9758,272,1606,2017-3-30,,-1
2310,5202,21,108,2017-3-20,,-1
2577,5662,728,2577,2017-4-10,,-1
7998,1204,32,142,2017-3-11,,-1
6381,1921,141,863,2017-3-17,,-1
7542,1684,8516,26384,2017-3-23,,-1
4148,4329,2667,2961,2017-3-10,,-1
7354,4878,393,1629,2017-3-15,,-1
9626,4918,355,2659,2017-3-15,,-1
1581,2970,4,0,2017-9-30,,-1
7728,9424,1531,1301,2017-3-10,,-1
8651,5702,33974,3448,2017-3-27,,-1
3910,7882,1929,3797,2014-4-23,,-1
3627,3891,722,968,2017-3-8,,-1
2607,277,2138,2377,2017-3-6,,-1
2472,1416,143,190,2017-3-11,,-1
109,9584,611,117,2017-3-1,,-1
8516,5071,2082,6836,2017-3-27,,-1
4209,1989,305,1601,2017-2-28,,-1
4529,7380,1791,1589,2017-4-27,,-1
2364,9318,95,177,2017-2-28,,-1
7758,2325,10,3,2017-3-16,,-1
2128,4605,2111,5198,2017-3-2,,-1
4850,6312,34,362,2017-3-6,,-1
8299,3629,69,1841,2017-2-23,,-1
5497,4315,1064,27815,2017-2-27,,-1
233,3036,12,36,2017-3-7,,-1
8909,9338,2687,565,2017-4-4,,-1
6769,1276,2748,1407,2017-3-26,,-1
8781,382,557,2130,2017-2-20,,-1
6211,7426,641,1008,2017-2-21,,-1
8604,4505,481,2254,2017-2-20,,-1
1540,9623,4103,4812,2017-3-24,,-1
5968,8672,16850,19640,2017-2-16,,-1
4153,2374,10,151,2017-2-20,,-1
234,1537,52,325,2017-3-15,,-1
